Исследования							
Раздел прокачки	Название	минимальный уровень	Максимальный уровень	Текущий уровень	Сила за прокачку 	Время прокачки	Заблокировано
Герои	Герои-снайперы: бонус к урону	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стражи: бонус к здоровью 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стражи: бонус к атаке 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стражи: бонус к обороне 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стражи: снижение урона 	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стрелки: бонус к здоровью 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стрелки: бонус к атаке 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стрелки: бонус к обороне 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стрелки: снижение урона 	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-снайперы: бонус к здоровью 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-снайперы: бонус к атаке 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-снайперы: бонус к обороне 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-снайперы: синжение урона	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Эволюция оружия	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Эволюция брони	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Эволюция жизненной силы	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Стража: оружейная тренировка	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Стража: оборонная тренировка	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Стража: физическая тренировка 	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Силовая тренировка 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Стрелки: оружейная тренировка	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Стрелки: оборонная тренировка	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Стрелки: физическая тренировка	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Силовая тренировка 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Снайперы: оружейная тренировка	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Снайперы: оборонная тренировка	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Снайперы: физическая тренировка	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Силовая тренировка 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Улучшенная оружейная тренировка 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Улучшенная оборонная тренировка 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Улучшенная физическая тренировка 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Силовая тренировка 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Улучшенная оружейная тренировка 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Улучшенная оборонная тренировка 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Улучшенная физическая тренировка 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды	Силовая тренировка 5	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Увеличение ресурсов 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Увеличение опыта 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Улучшение сигнала 1	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Улучшение фильтра	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Перехват разведданных	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Увеличение хранилища	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Увеличение ресурсов 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Увеличение опыта 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Улучшение сигнала 2	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Пост разведки	Быстрое выполнение	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Фокус: радар	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Фокус: ускорения	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Фокус: призыв героев	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Улучшенные награды	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Мастер состязаний	0	20	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Фокус: строительство	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Фокус: исследование	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Фокус: обучение	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Фокус: убийства	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Дуэль союза	Первоклассные награды	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Усиленная оборона 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Усиленная атака 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Усиленное здоровье 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Расширение марша 1	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Сфокусированные учения	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Расширение тренировки	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Герои-стражи: агрессия	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Герой-стрелок: агрессия	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Герой-снайпер: агрессия	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Абсолютная агрессия	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Усиленная оборона 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Усиленная атака 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Усиленное здоровье 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Расширение марша 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Быстрое лечение	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Улучшенный уход	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Герои-стражи: жизнестойкость	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Герои-стрелки: жизнестойкость	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Герои-снайперы: жизнестойкость	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Абсолютная жизнестойкость	0	3	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Отряды спец. Назначения	Легион Х	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - усиление атаки 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - титановая броня 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - битва на выносливость 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - предметы для ускорения 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - бонусный опыт 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - улучшение огневой мощи 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - усиление атаки 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - титановая броня 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - битва на выносливость 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - предметы для ускорения 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - бонустный опыт 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - улучшение огневой мощи 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Результативный марш	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - усиление атаки 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - титановая броня 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - битва на выносливость 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - предметы для ускорения 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - бонусный опыт 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание заражённых - обеспечение безопасности	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - усиление атаки 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - титановая броня 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - битва на выносливость 2	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - предметы для ускорения 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - бонустный опыт 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Завоевание нечестивых заражённых - обеспечение безопасности	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Завоевание заражённых	Случайный ящик	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Увеличение вместимости груза	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Штурмовая тренировка	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Тренировка построений	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Повышение мощности	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Доп. Трофеи	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Компенсация урона в бою	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Потенциал добычи	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Оптимизация техники- улучшение качества	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Оптимизация техники- улучшение стратегии	0	10	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экспресс Судного дня	Супергрузовик	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
